target_return,vol
-0.023066666666666666,0.11116086998916021
-0.007350000000000002,0.10297325284193916
0.008366666666666668,0.09838608427796569
0.02408333333333334,0.09545264782979694
0.039799999999999995,0.09349024850702968
0.055516666666666666,0.09208829961925342
0.07123333333333334,0.09107983494056184
0.08695,0.09039389273807875
0.10266666666666668,0.09003788615981678
0.11838333333333334,0.09006547731671971
0.1341,0.0904492552036138
0.14981666666666668,0.09118527205990308
0.16553333333333334,0.09240532192681712
0.18125000000000002,0.09419693443302565
0.19696666666666668,0.09672561998758936
0.21268333333333334,0.10029569502160206
0.2284,0.10537919697676833
0.2441166666666667,0.11523185527045952
