,UCL,EUR,MID,LOW,CHAMP
UCL,0.6363636363636364,0.21212121212121213,0.12121212121212122,0.015151515151515152,0.015151515151515152
EUR,0.32653061224489793,0.2857142857142857,0.32653061224489793,0.04081632653061224,0.02040816326530612
MID,0.05357142857142857,0.125,0.5535714285714286,0.16071428571428573,0.10714285714285714
LOW,0.02040816326530612,0.08163265306122448,0.32653061224489793,0.32653061224489793,0.24489795918367346
CHAMP,0.006024096385542169,0.006024096385542169,0.024096385542168676,0.024096385542168676,0.9397590361445783
