club,company_number,made_up_to,available,reason
Everton,00036624,2011-05-31,0,pdf_only_or_missing
Everton,00036624,2010-05-31,0,pdf_only_or_missing
Everton,00036624,2009-05-31,0,pdf_only_or_missing
Everton,00036624,2008-05-31,0,pdf_only_or_missing
Everton,00036624,2007-05-31,0,pdf_only_or_missing
Everton,00036624,2006-05-31,0,pdf_only_or_missing
Everton,00036624,2005-05-31,0,pdf_only_or_missing
Everton,00036624,2004-05-31,0,pdf_only_or_missing
Everton,00036624,2003-05-31,0,pdf_only_or_missing
Everton,00036624,2002-05-31,0,pdf_only_or_missing
Everton,00036624,2001-05-31,0,pdf_only_or_missing
Everton,00036624,2000-05-31,0,pdf_only_or_missing
Everton,00036624,1999-05-31,0,pdf_only_or_missing
Everton,00036624,1998-05-31,0,pdf_only_or_missing
Everton,00036624,1997-05-31,0,pdf_only_or_missing
Everton,00036624,1996-05-31,0,pdf_only_or_missing
Everton,00036624,1995-05-31,0,pdf_only_or_missing
Everton,00036624,1994-05-31,0,pdf_only_or_missing
Everton,00036624,1993-05-31,0,pdf_only_or_missing
Everton,00036624,1992-05-31,0,pdf_only_or_missing
Everton,00036624,1991-05-31,0,pdf_only_or_missing
Everton,00036624,1990-05-31,0,pdf_only_or_missing
Everton,00036624,1989-05-31,0,pdf_only_or_missing
Everton,00036624,1988-05-31,0,pdf_only_or_missing
Everton,00036624,1987-05-31,0,pdf_only_or_missing
Everton,00036624,1986-05-31,0,pdf_only_or_missing
Everton,00036624,1985-05-31,0,pdf_only_or_missing
Everton,00036624,1984-05-31,0,pdf_only_or_missing
Everton,00036624,1983-05-31,0,pdf_only_or_missing
Everton,00036624,1982-05-31,0,pdf_only_or_missing
Everton,00036624,1981-05-31,0,pdf_only_or_missing
Everton,00036624,1980-05-31,0,pdf_only_or_missing
Everton,00036624,1979-05-31,0,pdf_only_or_missing
Everton,00036624,1978-05-31,0,pdf_only_or_missing
Everton,00036624,1975-05-31,0,pdf_only_or_missing
Everton,00036624,1976-05-31,0,pdf_only_or_missing
Everton,00036624,1974-05-31,0,pdf_only_or_missing
Brighton,00081077,2025-06-30,0,pdf_only_or_missing
Brighton,00081077,2024-06-30,0,pdf_only_or_missing
Brighton,00081077,2023-06-30,0,pdf_only_or_missing
Brighton,00081077,2022-06-30,0,pdf_only_or_missing
Brighton,00081077,2021-06-30,0,pdf_only_or_missing
Brighton,00081077,2020-10-31,0,pdf_only_or_missing
Brighton,00081077,2021-06-30,0,pdf_only_or_missing
Brighton,00081077,2020-06-30,0,pdf_only_or_missing
Brighton,00081077,2019-06-30,0,pdf_only_or_missing
Brighton,00081077,2018-06-30,0,pdf_only_or_missing
Brighton,00081077,2017-06-30,0,pdf_only_or_missing
Brighton,00081077,2016-06-30,0,pdf_only_or_missing
Brighton,00081077,2015-06-30,0,pdf_only_or_missing
Brighton,00081077,2014-06-30,0,pdf_only_or_missing
Brighton,00081077,2013-06-30,0,pdf_only_or_missing
Brighton,00081077,2012-06-30,0,pdf_only_or_missing
Brighton,00081077,2011-06-30,0,pdf_only_or_missing
Brighton,00081077,2010-06-30,0,pdf_only_or_missing
Brighton,00081077,2009-06-30,0,pdf_only_or_missing
Brighton,00081077,2008-06-30,0,pdf_only_or_missing
Brighton,00081077,2007-06-30,0,pdf_only_or_missing
Brighton,00081077,2006-06-30,0,pdf_only_or_missing
Brighton,00081077,2005-06-30,0,pdf_only_or_missing
Brighton,00081077,2004-06-30,0,pdf_only_or_missing
Brighton,00081077,2003-06-30,0,pdf_only_or_missing
Brighton,00081077,2002-06-30,0,pdf_only_or_missing
Brighton,00081077,2001-06-30,0,pdf_only_or_missing
Brighton,00081077,2000-06-30,0,pdf_only_or_missing
Brighton,00081077,1999-06-30,0,pdf_only_or_missing
Brighton,00081077,1998-05-31,0,pdf_only_or_missing
Brighton,00081077,1997-05-31,0,pdf_only_or_missing
Brighton,00081077,1996-05-31,0,pdf_only_or_missing
Brighton,00081077,1996-05-31,0,pdf_only_or_missing
Brighton,00081077,1995-05-31,0,pdf_only_or_missing
Brighton,00081077,1995-05-31,0,pdf_only_or_missing
Brighton,00081077,1994-05-31,0,pdf_only_or_missing
Brighton,00081077,1993-05-31,0,pdf_only_or_missing
Brighton,00081077,1992-05-31,0,pdf_only_or_missing
Brighton,00081077,1991-05-31,0,pdf_only_or_missing
Brighton,00081077,1990-05-31,0,pdf_only_or_missing
Brighton,00081077,1989-05-31,0,pdf_only_or_missing
Brighton,00081077,1988-05-31,0,pdf_only_or_missing
Brighton,00081077,1987-05-31,0,pdf_only_or_missing
Brighton,00081077,1986-05-31,0,pdf_only_or_missing
Brighton,00081077,1983-05-31,0,pdf_only_or_missing
Brighton,00081077,1981-05-31,0,pdf_only_or_missing
Chelsea,01965149,2025-06-30,0,pdf_only_or_missing
Chelsea,01965149,2024-06-30,0,pdf_only_or_missing
Chelsea,01965149,2023-06-30,0,pdf_only_or_missing
Chelsea,01965149,2022-06-30,0,pdf_only_or_missing
Chelsea,01965149,2021-06-30,0,pdf_only_or_missing
Chelsea,01965149,2020-06-30,0,pdf_only_or_missing
Chelsea,01965149,2019-06-30,0,pdf_only_or_missing
Chelsea,01965149,2018-06-30,0,pdf_only_or_missing
Chelsea,01965149,2017-06-30,0,pdf_only_or_missing
Chelsea,01965149,2016-06-30,0,pdf_only_or_missing
Chelsea,01965149,2015-06-30,0,pdf_only_or_missing
Chelsea,01965149,2014-06-30,0,pdf_only_or_missing
Chelsea,01965149,2013-06-30,0,pdf_only_or_missing
Chelsea,01965149,2012-06-30,0,pdf_only_or_missing
Chelsea,01965149,2011-06-30,0,pdf_only_or_missing
Chelsea,01965149,2010-06-30,0,pdf_only_or_missing
Chelsea,01965149,2009-06-30,0,pdf_only_or_missing
Chelsea,01965149,2008-06-30,0,pdf_only_or_missing
Chelsea,01965149,2007-06-30,0,pdf_only_or_missing
