target,model,feature,importance
squad_value_growth_yoy,gbm,squad_mean_age_lag1,0.06582535502268654
squad_value_growth_yoy,gbm,newly_promoted,0.0
squad_value_growth_yoy,gbm,ucl_spot_lag1,0.002956118197351288
squad_value_growth_yoy,gbm,mco_flag,0.0010623772104466902
squad_value_growth_yoy,gbm,covid_season,0.04713708230046233
squad_value_growth_yoy,gbm,is_premier_league,0.0014336459882165649
squad_value_growth_yoy,gbm,uk_gilt_10y_season,0.14134232386835804
squad_value_growth_yoy,gbm,eur_gbp_season,0.11158579850885895
wage_to_revenue,lasso,ppg_lag1,0.01138418168668034
wage_to_revenue,lasso,position_lag1,0.0019695322324205025
wage_to_revenue,lasso,points_lag1,0.004405560359813525
wage_to_revenue,lasso,gd_pg_lag1,0.0
wage_to_revenue,lasso,total_market_value_eur_m_lag1,0.0
wage_to_revenue,lasso,net_spend_eur_m_lag1,0.0
wage_to_revenue,lasso,minutes_weighted_age_lag1,0.0
wage_to_revenue,lasso,squad_mean_age_lag1,0.00811841975948812
wage_to_revenue,lasso,newly_promoted,0.019752684605209396
wage_to_revenue,lasso,ucl_spot_lag1,0.033029272131834535
wage_to_revenue,lasso,mco_flag,0.0007737763646395521
wage_to_revenue,lasso,covid_season,0.04598602867209511
wage_to_revenue,lasso,is_premier_league,0.0
wage_to_revenue,lasso,uk_gilt_10y_season,0.0
wage_to_revenue,lasso,eur_gbp_season,0.0
wage_to_revenue,random_forest,ppg_lag1,0.06956290197177707
wage_to_revenue,random_forest,position_lag1,0.053052430339153654
wage_to_revenue,random_forest,points_lag1,0.08883536408878248
wage_to_revenue,random_forest,gd_pg_lag1,0.1732137579188273
wage_to_revenue,random_forest,total_market_value_eur_m_lag1,0.09290991003420376
wage_to_revenue,random_forest,net_spend_eur_m_lag1,0.024456225563362348
wage_to_revenue,random_forest,minutes_weighted_age_lag1,0.03904230349718863
wage_to_revenue,random_forest,squad_mean_age_lag1,0.1941987369316084
wage_to_revenue,random_forest,newly_promoted,0.04277127975580305
wage_to_revenue,random_forest,ucl_spot_lag1,0.008338391306576891
wage_to_revenue,random_forest,mco_flag,0.0008295536463940956
wage_to_revenue,random_forest,covid_season,0.06580259442994348
wage_to_revenue,random_forest,is_premier_league,0.0
wage_to_revenue,random_forest,uk_gilt_10y_season,0.0948757491484766
